,datetime,Tweet id,Username,Text
23,2022-06-30 05:30:14+00:00,1542379967010439170,UnitedAddictEs,Manchester United y Barcelona pactan el precio final de Frenkie de Jong #MUFC #Manchester #CR7 | https://t.co/ne1OkzErV7 https://t.co/yor9DqaOAK
24,2022-06-29 22:41:42+00:00,1542277154553139200,AJINKYAMARUTIPA,#manchester #manchesterunited #themanchester #theclub #🇬🇧 @ Manchester United - The_Theatre_of_Dream https://t.co/KD3Km4pT5f
25,2022-06-29 20:06:32+00:00,1542238107029934083,kevynmelo7,[@Plettigoal | @fredcaldeira] #Barcelona #Manchester #United #DeJong 🔵🔴🔄🇳🇱
26,2022-06-29 19:56:41+00:00,1542235625092440065,the_eplbase,Erik ten Hag sees ‘key role’ for Donny van de Beek at Man United #epl #LFC #CFC #ucl #Livestream https://t.co/YfIUr8u8Q0 #manutd #manutd #manchester #mufc
27,2022-06-29 19:00:25+00:00,1542221468603453442,UnitedAddictEs,Nuevo freno al deseado traspaso de Frenkie de Jong al Manchester United #MUFC #Manchester #CR7 | El Desmarque https://t.co/09ybw9ZyPL
28,2022-06-29 18:43:21+00:00,1542217170838355968,BharuchasUK,"Eid Mubarak - 16"" Gold Foil Balloons

£3.99

https://t.co/Bi2YWjp9sA

#eid #eiddecor #eidmubarak #eid2022 #eidgifts #islamicgifts #islamicbookshop #manchester #eidparty #islamiclifestyle #eidplates @ Manchester, United Kingdom https://t.co/AedJ85A6Df"
29,2022-06-29 18:39:34+00:00,1542216220174438406,BharuchasUK,"23cm White Paper Plates (Pack of 8) 

£3.99

https://t.co/Bi2YWj7yB2

#eid #eiddecor #eidmubarak #eid2022 #eidgifts #islamicgifts #islamicbookshop #manchester #eidparty #islamiclifestyle #eidplates @ Manchester, United Kingdom https://t.co/MgltTraFle"
30,2022-06-29 17:19:20+00:00,1542196026760728576,bolarinwa_gift,"Sapa 😡😡😡 @Abdsama85825676
#sabinus
#Frenkie De jong, #Manchester united # https://t.co/LWOqMgvtJM"
31,2022-06-29 17:00:24+00:00,1542191264694681604,UnitedAddictEs,Manchester United y Barcelona pactan el precio final de Frenkie de Jong #MUFC #Manchester #CR7 | https://t.co/ne1OkzErV7 https://t.co/yor9DqaOAK
32,2022-06-29 16:01:42+00:00,1542176491978358784,Halftimesport13,"🚨 @ManUtd and @FCBarcelona have reached an agreement on the fee for Frenkie De Jong. 🇳🇱

💰€65m guaranteed + €20m in add ons. 

Now it is up to the player to decide.

(Source: @FabrizioRomano)

#MUTD #RedDevil
#Transfers #Manchester #DeJong"
